date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:53:11	0/-1	---M--	302	error ('')			https://www.manycolouredsky.org/rainbow-to-refugee	/home/benz/website-copy/www.manycolouredsky.org/rainbow-to-refugee.3c.delayed	(from https://www.manycolouredsky.org/indonesia)
10:53:11	0/-1	---M--	302	error ('')			https://www.manycolouredsky.org/about-1	/home/benz/website-copy/www.manycolouredsky.org/about-1.3d.delayed	(from https://www.manycolouredsky.org/building-queer-capacity-papua-new-guinea)
10:53:11	0/-1	---M--	302	error ('')			https://www.manycolouredsky.org/current-projects	/home/benz/website-copy/www.manycolouredsky.org/current-projects.3e.delayed	(from https://www.manycolouredsky.org/building-queer-capacity-papua-new-guinea)
10:53:11	0/-1	---M--	302	error ('')			https://www.manycolouredsky.org/rainbow-to-refugee	/home/benz/website-copy/www.manycolouredsky.org/rainbow-to-refugee.3f.delayed	(from https://www.manycolouredsky.org/building-queer-capacity-papua-new-guinea)
10:53:11	0/-1	---M--	302	error ('')			https://www.manycolouredsky.org/about-1	/home/benz/website-copy/www.manycolouredsky.org/about-1.40.delayed	(from https://www.manycolouredsky.org/promise-of-hope)
10:53:11	0/-1	---M--	302	error ('')			https://www.manycolouredsky.org/current-projects	/home/benz/website-copy/www.manycolouredsky.org/current-projects.41.delayed	(from https://www.manycolouredsky.org/promise-of-hope)
10:53:11	0/-1	---M--	302	error ('')			https://www.manycolouredsky.org/rainbow-to-refugee	/home/benz/website-copy/www.manycolouredsky.org/rainbow-to-refugee.42.delayed	(from https://www.manycolouredsky.org/promise-of-hope)
10:53:11	0/-1	---M--	302	error ('')			https://www.manycolouredsky.org/about-1	/home/benz/website-copy/www.manycolouredsky.org/about-1.43.delayed	(from https://www.manycolouredsky.org/lgbtqi-international-student-support-australia)
10:53:11	0/-1	---M--	302	error ('')			https://www.manycolouredsky.org/current-projects	/home/benz/website-copy/www.manycolouredsky.org/current-projects.44.delayed	(from https://www.manycolouredsky.org/lgbtqi-international-student-support-australia)
10:53:11	0/-1	---M--	302	error ('')			https://www.manycolouredsky.org/rainbow-to-refugee	/home/benz/website-copy/www.manycolouredsky.org/rainbow-to-refugee.45.delayed	(from https://www.manycolouredsky.org/lgbtqi-international-student-support-australia)
10:53:11	0/-1	---M--	302	error ('')			https://www.manycolouredsky.org/about-1	/home/benz/website-copy/www.manycolouredsky.org/about-1.46.delayed	(from https://www.manycolouredsky.org/consultancy)
10:53:11	0/-1	---M--	302	error ('')			https://www.manycolouredsky.org/current-projects	/home/benz/website-copy/www.manycolouredsky.org/current-projects.47.delayed	(from https://www.manycolouredsky.org/consultancy)
10:53:11	0/-1	---M--	302	error ('')			https://www.manycolouredsky.org/rainbow-to-refugee	/home/benz/website-copy/www.manycolouredsky.org/rainbow-to-refugee.48.delayed	(from https://www.manycolouredsky.org/consultancy)
10:53:11	0/-1	---M--	302	error ('')			https://www.manycolouredsky.org/about-1	/home/benz/website-copy/www.manycolouredsky.org/about-1.49.delayed	(from https://www.manycolouredsky.org/australia)
10:53:11	0/-1	---M--	302	error ('')			https://www.manycolouredsky.org/current-projects	/home/benz/website-copy/www.manycolouredsky.org/current-projects.4a.delayed	(from https://www.manycolouredsky.org/australia)
